2013,2014,2015,2016,2017
"[(0, 0), (0, 0), (1, 1), (2, 2), (6, 6), (16, 16), (36, 36), (33, 33), (25, 25), (4, 4)]","[(0, 0), (0, 0), (0, 0), (9, 0), (11, 11), (31, 31), (50, 50), (44, 44), (21, 21), (5, 5)]","[(1, 1), (2, 2), (3, 3), (11, 11), (15, 15), (27, 27), (27, 27), (26, 26), (14, 14), (11, 11)]","[(0, 0), (0, 0), (0, 0), (2, 0), (10, 10), (31, 31), (36, 36), (44, 44), (26, 26), (2, 2)]","[(0, 0), (1, 1), (0, 0), (3, 3), (19, 15), (34, 33), (35, 28), (30, 37), (11, 11), (4, 8)]"
,,,"[(0, 0), (0, 0), (1, 1), (0, 0), (3, 3), (9, 9), (18, 18), (22, 22), (8, 8), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (3, 3), (16, 16), (31, 31), (6, 6), (0, 0)]"
"[(0, 0), (0, 0), (0, 0), (3, 3), (3, 3), (9, 9), (6, 6), (9, 9), (5, 5), (1, 1)]","[(0, 0), (0, 0), (0, 0), (2, 2), (1, 1), (7, 7), (9, 9), (12, 12), (6, 6), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (5, 5), (5, 5), (12, 12), (10, 10), (6, 6), (4, 4)]","[(0, 0), (1, 1), (0, 0), (0, 0), (3, 3), (11, 11), (16, 16), (13, 13), (10, 10), (0, 0)]","[(0, 0), (0, 0), (0, 0), (1, 1), (2, 2), (8, 8), (13, 13), (11, 11), (11, 11), (1, 1)]"
"[(0, 0), (0, 0), (0, 0), (2, 0), (2, 4), (5, 17), (14, 43), (21, 12), (32, 19), (19, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]",,,
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (11, 11), (16, 16), (20, 20), (9, 9), (1, 1)]","[(0, 0), (0, 0), (0, 0), (1, 0), (3, 3), (2, 2), (12, 12), (19, 19), (10, 10), (2, 2)]","[(0, 0), (0, 0), (0, 0), (0, 0), (1, 1), (7, 8), (11, 13), (16, 14), (11, 10), (5, 5)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (19, 0), (41, 41), (62, 62), (59, 59), (28, 28), (10, 10)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (17, 17), (40, 40), (63, 63), (75, 75), (21, 21), (4, 4)]"
,,"[(0, 0), (0, 0), (1, 1), (0, 0), (0, 0), (3, 3), (17, 17), (26, 26), (13, 13), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (19, 19), (35, 35), (14, 14), (2, 2)]","[(0, 0), (0, 0), (2, 2), (0, 0), (0, 0), (4, 4), (25, 25), (42, 42), (19, 19), (0, 0)]"
,"[(0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (7, 7), (18, 18), (16, 16), (8, 8), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (2, 2), (5, 5), (14, 14), (3, 3), (0, 0)]","[(0, 0), (0, 0), (0, 0), (1, 1), (1, 1), (2, 2), (8, 8), (18, 18), (4, 4), (0, 0)]","[(0, 0), (0, 0), (0, 0), (1, 1), (0, 0), (6, 6), (12, 13), (25, 25), (11, 10), (0, 0)]"
,,,"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 1), (9, 9), (5, 5), (2, 2), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (10, 10), (1, 1), (0, 0)]"
"[(0, 0), (0, 0), (0, 0), (14, 0), (41, 41), (45, 45), (38, 38), (36, 36), (25, 25), (5, 5)]","[(0, 0), (0, 0), (0, 0), (5, 0), (16, 16), (49, 49), (67, 67), (48, 48), (26, 26), (0, 0)]","[(0, 0), (0, 0), (1, 1), (4, 4), (30, 30), (44, 44), (53, 53), (33, 33), (26, 26), (3, 3)]","[(0, 0), (0, 0), (0, 0), (3, 3), (14, 17), (31, 38), (60, 83), (63, 54), (53, 31), (8, 6)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 0), (2, 2)]"
